Date,House,anemia,arrhythmia,asthma,bacteria,biopsy,cancer,cardiomyopathy,cholesterol,coma,diabetes,embolism,encephalitis,epilepsy,hypertension,immunodeficiency,infection,leukemia,lupus,malaria,pneumonia,sepsis,stroke,tumor,Average
2020-09,14,67,77,48,75,68,70,43,66,25,66,16,39,46,55,18,74,52,42,12,23,55,71,52,50.43478260869565
2020-10,12,72,79,49,68,78,83,40,76,23,69,18,36,47,60,18,80,55,45,12,30,56,69,54,52.91304347826087
2020-11,12,61,68,46,49,64,65,36,62,22,64,17,34,45,52,19,76,49,36,11,30,51,62,48,46.391304347826086
2020-12,13,67,71,48,43,63,67,38,59,26,64,16,32,40,54,25,76,49,36,10,37,54,62,47,47.130434782608695
2021-01,14,70,74,48,44,63,68,60,67,22,70,96,35,42,64,30,73,49,38,10,36,60,63,48,53.47826086956522
2021-02,13,80,85,49,55,74,75,73,75,25,79,76,36,51,80,27,73,55,40,11,28,64,64,57,57.91304347826087
2021-03,11,83,83,53,49,74,71,74,73,23,73,62,35,46,91,31,73,57,38,10,24,56,64,56,56.47826086956522
2021-04,12,78,89,49,52,80,70,63,74,26,76,60,37,53,84,24,77,57,41,13,25,61,67,55,57.0
2021-05,12,75,75,44,45,76,71,58,74,22,72,24,37,47,78,22,79,57,42,11,23,59,67,55,52.73913043478261
2021-06,12,74,73,41,37,70,73,61,73,22,73,20,35,44,72,17,81,56,40,9,22,66,69,55,51.43478260869565
2021-07,12,73,74,41,38,70,73,64,67,23,71,21,36,48,65,26,84,56,39,9,25,67,66,53,51.69565217391305
2021-08,13,71,71,47,40,77,70,72,72,22,74,22,41,53,65,100,93,56,39,11,41,67,68,32,56.69565217391305
2021-09,12,78,80,50,56,72,78,69,76,24,70,24,37,49,57,40,88,60,39,12,42,68,64,32,55.0
2021-10,11,80,77,46,53,76,81,72,78,22,75,26,39,49,61,33,84,56,38,17,36,88,62,40,56.04347826086956
2021-11,11,77,73,48,50,77,72,62,76,24,73,26,38,50,60,35,85,55,38,11,37,66,66,32,53.52173913043478
2021-12,11,71,68,44,42,68,67,58,68,21,68,19,37,44,62,42,96,54,40,10,48,65,64,35,51.78260869565217
2022-01,13,81,75,53,50,76,71,64,77,23,78,32,46,48,75,46,96,55,42,11,56,73,73,47,58.608695652173914
2022-02,12,92,100,52,67,84,74,77,93,26,85,48,42,53,83,10,86,64,46,13,36,80,78,60,63.0
2022-03,11,95,98,55,64,89,76,73,96,22,84,41,72,55,82,29,86,65,47,14,29,79,77,51,64.30434782608695
2022-04,11,91,88,54,72,85,79,70,91,26,82,40,52,54,78,31,88,62,45,18,30,70,82,47,62.391304347826086
2022-05,12,85,75,51,58,72,75,64,83,26,79,52,44,47,59,10,89,67,45,16,29,57,72,62,57.26086956521739
2022-06,12,79,72,46,43,80,78,69,80,25,79,45,38,47,68,21,87,58,48,12,27,77,74,65,57.30434782608695
2022-07,13,78,72,44,44,73,76,56,79,28,78,34,48,48,72,23,88,64,47,11,25,65,75,92,57.391304347826086
2022-08,13,81,77,45,51,82,75,64,87,28,82,31,46,50,70,18,92,67,45,12,24,63,72,90,58.78260869565217
